model,prompt,run_index,elapsed_sec,response_len_tokens,gpu_mem_pre_mib,gpu_mem_post_mib,gpu_before_model_mib,timestamp
qwen2.5:7b-instruct,你好，我这周想写一封给领导的邮件，怎么开头比较合适？,0,1.0042030811309814,5,11038,11038,11038,1770962176.4998958
qwen2.5:7b-instruct,你好，我这周想写一封给领导的邮件，怎么开头比较合适？,1,0.9815940856933594,4,11038,11038,11038,1770962177.5717509
qwen2.5:7b-instruct,你好，我这周想写一封给领导的邮件，怎么开头比较合适？,2,1.1660149097442627,6,11038,11038,11038,1770962178.8225744
qwen2.5:7b-instruct,你好，我这周想写一封给领导的邮件，怎么开头比较合适？,3,0.9939250946044922,4,11038,11038,11038,1770962179.9051785
qwen2.5:7b-instruct,你好，我这周想写一封给领导的邮件，怎么开头比较合适？,4,0.9448680877685547,4,11038,11038,11038,1770962180.9416444
qwen2.5:7b-instruct,帮我简要解释一下微服务的优点，用一句话说清楚。,0,0.24451684951782227,1,11038,11038,11038,1770962181.279619
qwen2.5:7b-instruct,帮我简要解释一下微服务的优点，用一句话说清楚。,1,0.21637845039367676,2,11038,11038,11038,1770962181.5888264
qwen2.5:7b-instruct,帮我简要解释一下微服务的优点，用一句话说清楚。,2,0.23572301864624023,1,11038,11038,11038,1770962181.9145715
qwen2.5:7b-instruct,帮我简要解释一下微服务的优点，用一句话说清楚。,3,0.2387845516204834,1,11038,11038,11038,1770962182.2537122
qwen2.5:7b-instruct,帮我简要解释一下微服务的优点，用一句话说清楚。,4,0.2591860294342041,1,11038,11038,11038,1770962182.6088054
qwen2.5:7b-instruct,我最近工作压力大，有没有三个快速缓解压力的建议？,0,1.9080860614776611,8,11038,11038,11038,1770962184.6085973
qwen2.5:7b-instruct,我最近工作压力大，有没有三个快速缓解压力的建议？,1,1.7107758522033691,8,11038,11038,11038,1770962186.404762
qwen2.5:7b-instruct,我最近工作压力大，有没有三个快速缓解压力的建议？,2,2.0686137676239014,8,11038,11038,11038,1770962188.565482
qwen2.5:7b-instruct,我最近工作压力大，有没有三个快速缓解压力的建议？,3,1.86857008934021,8,11038,11038,11038,1770962190.5445254
qwen2.5:7b-instruct,我最近工作压力大，有没有三个快速缓解压力的建议？,4,1.5555768013000488,8,11038,11038,11038,1770962192.1817775
qwen2.5:7b-instruct,我下周要向老板提需求，应该怎么表达更有说服力？,0,2.3990743160247803,20,11038,11038,11038,1770962194.6613705
qwen2.5:7b-instruct,我下周要向老板提需求，应该怎么表达更有说服力？,1,2.2802937030792236,16,11038,11038,11038,1770962197.029665
qwen2.5:7b-instruct,我下周要向老板提需求，应该怎么表达更有说服力？,2,2.6590752601623535,18,11038,11038,11038,1770962199.7661192
qwen2.5:7b-instruct,我下周要向老板提需求，应该怎么表达更有说服力？,3,2.5960800647735596,44,11038,11038,11038,1770962202.4470515
qwen2.5:7b-instruct,我下周要向老板提需求，应该怎么表达更有说服力？,4,3.144217014312744,36,11038,11038,11038,1770962205.6870444
qwen2.5:7b-instruct,你推荐的晚饭是什么？我想吃得简单又健康。,0,1.5315017700195312,13,11038,11033,11038,1770962207.3028984
qwen2.5:7b-instruct,你推荐的晚饭是什么？我想吃得简单又健康。,1,1.8136622905731201,36,11033,10972,11038,1770962209.206683
qwen2.5:7b-instruct,你推荐的晚饭是什么？我想吃得简单又健康。,2,2.2381510734558105,24,10972,10977,11038,1770962211.5298283
qwen2.5:7b-instruct,你推荐的晚饭是什么？我想吃得简单又健康。,3,2.1234958171844482,28,10977,11031,11038,1770962213.744031
qwen2.5:7b-instruct,你推荐的晚饭是什么？我想吃得简单又健康。,4,1.6273059844970703,15,11031,11024,11038,1770962215.4727807
EntropyYue/chatglm3:6b,你好，我这周想写一封给领导的邮件，怎么开头比较合适？,0,0.22301673889160156,1,11024,11024,11024,1770962215.8337903
EntropyYue/chatglm3:6b,你好，我这周想写一封给领导的邮件，怎么开头比较合适？,1,0.09018802642822266,1,11024,11024,11024,1770962216.001542
EntropyYue/chatglm3:6b,你好，我这周想写一封给领导的邮件，怎么开头比较合适？,2,1.10414719581604,12,11024,11024,11024,1770962217.1990745
EntropyYue/chatglm3:6b,你好，我这周想写一封给领导的邮件，怎么开头比较合适？,3,0.0929102897644043,1,11024,11024,11024,1770962217.3860288
EntropyYue/chatglm3:6b,你好，我这周想写一封给领导的邮件，怎么开头比较合适？,4,0.9141042232513428,12,11024,11024,11024,1770962218.3890386
EntropyYue/chatglm3:6b,帮我简要解释一下微服务的优点，用一句话说清楚。,0,0.23199772834777832,1,11024,11024,11024,1770962218.715853
EntropyYue/chatglm3:6b,帮我简要解释一下微服务的优点，用一句话说清楚。,1,0.1208646297454834,1,11024,11024,11024,1770962218.9161792
EntropyYue/chatglm3:6b,帮我简要解释一下微服务的优点，用一句话说清楚。,2,0.2441093921661377,1,11024,11024,11024,1770962219.2424233
EntropyYue/chatglm3:6b,帮我简要解释一下微服务的优点，用一句话说清楚。,3,0.11129331588745117,1,11024,11024,11024,1770962219.443719
EntropyYue/chatglm3:6b,帮我简要解释一下微服务的优点，用一句话说清楚。,4,0.17388606071472168,1,11024,11024,11024,1770962219.703812
EntropyYue/chatglm3:6b,我最近工作压力大，有没有三个快速缓解压力的建议？,0,0.9601399898529053,7,11024,11024,11024,1770962220.7545407
EntropyYue/chatglm3:6b,我最近工作压力大，有没有三个快速缓解压力的建议？,1,0.5252578258514404,7,11024,11024,11024,1770962221.3695934
EntropyYue/chatglm3:6b,我最近工作压力大，有没有三个快速缓解压力的建议？,2,0.7866742610931396,4,11024,11024,11024,1770962222.248504
EntropyYue/chatglm3:6b,我最近工作压力大，有没有三个快速缓解压力的建议？,3,0.9803216457366943,7,11024,11024,11024,1770962223.310312
EntropyYue/chatglm3:6b,我最近工作压力大，有没有三个快速缓解压力的建议？,4,0.6690487861633301,7,11024,11024,11024,1770962224.0694737
EntropyYue/chatglm3:6b,我下周要向老板提需求，应该怎么表达更有说服力？,0,1.2511818408966064,11,11024,11024,11024,1770962225.4104183
EntropyYue/chatglm3:6b,我下周要向老板提需求，应该怎么表达更有说服力？,1,1.8307349681854248,16,11024,11024,11024,1770962227.3216107
EntropyYue/chatglm3:6b,我下周要向老板提需求，应该怎么表达更有说服力？,2,1.709883451461792,12,11024,11024,11024,1770962229.1315284
EntropyYue/chatglm3:6b,我下周要向老板提需求，应该怎么表达更有说服力？,3,1.4833323955535889,14,11024,11024,11024,1770962230.703564
EntropyYue/chatglm3:6b,我下周要向老板提需求，应该怎么表达更有说服力？,4,1.456676959991455,15,11024,11024,11024,1770962232.2415044
EntropyYue/chatglm3:6b,你推荐的晚饭是什么？我想吃得简单又健康。,0,1.0238118171691895,21,11024,11024,11024,1770962233.3536565
EntropyYue/chatglm3:6b,你推荐的晚饭是什么？我想吃得简单又健康。,1,1.2430901527404785,17,11024,11024,11024,1770962234.6875415
EntropyYue/chatglm3:6b,你推荐的晚饭是什么？我想吃得简单又健康。,2,1.5231499671936035,12,11024,11024,11024,1770962236.3096466
EntropyYue/chatglm3:6b,你推荐的晚饭是什么？我想吃得简单又健康。,3,1.5104856491088867,21,11024,11024,11024,1770962237.902383
EntropyYue/chatglm3:6b,你推荐的晚饭是什么？我想吃得简单又健康。,4,0.9160401821136475,12,11024,11024,11024,1770962238.9058292
